schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,,,,,
9/9/2010,2010,1,FALSE,NO,14,9,MIN,NO,-5,49.5,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
9/12/2010,2010,1,FALSE,BUF,10,15,MIA,MIA,-3,39,Ralph,Wilson,Stadium,FALSE,64,7,81,,,,
9/12/2010,2010,1,FALSE,CHI,19,14,DET,CHI,-6.5,45,Soldier,Field,FALSE,75,1,45,,,,,
9/12/2010,2010,1,FALSE,HOU,34,24,IND,IND,-1,48,Reliant,Stadium,FALSE,89,5,DOME,(Open,Roof),,,
9/12/2010,2010,1,FALSE,JAX,24,17,DEN,JAX,-3,41.5,EverBank,Field,FALSE,91,1,67,,,,,
9/12/2010,2010,1,FALSE,NE,38,24,CIN,NE,-5.5,45,Gillette,Stadium,FALSE,63,10,,,,,,
9/12/2010,2010,1,FALSE,NYG,31,18,CAR,NYG,-6,41,MetLife,Stadium,FALSE,65,1,67,Rain,,,,
9/12/2010,2010,1,FALSE,PHI,20,27,GB,GB,-3,48,Lincoln,Financial,Field,FALSE,69,4,72,,,,
9/12/2010,2010,1,FALSE,PIT,15,9,ATL,ATL,-1.5,39.5,Heinz,Field,FALSE,65,9,67,,,,,
9/12/2010,2010,1,FALSE,SEA,31,6,SF,SF,-3,37,CenturyLink,Field,FALSE,64,11,,,,,,
9/12/2010,2010,1,FALSE,LAR,13,17,ARI,ARI,-3,39.5,Edward,Jones,Dome,FALSE,72,0,DOME,,,,
9/12/2010,2010,1,FALSE,TB,17,14,CLE,TB,-2.5,37,Raymond,James,Stadium,FALSE,87,6,78,,,,
9/12/2010,2010,1,FALSE,TEN,38,13,LVR,TEN,-6.5,40,Nissan,Stadium,FALSE,77,9,45,,,,,
9/12/2010,2010,1,FALSE,WAS,13,7,DAL,DAL,-3,40,FedEx,Field,FALSE,66,2,85,,,,,
9/13/2010,2010,1,FALSE,KC,21,14,LAC,LAC,-4,45.5,Arrowhead,Stadium,FALSE,81,1,75,,,,,
9/13/2010,2010,1,FALSE,NYJ,9,10,BAL,NYJ,-1,36.5,MetLife,Stadium,FALSE,73,1,100,Rain,,,,
9/19/2010,2010,2,FALSE,ATL,41,7,ARI,ATL,-7,43.5,Georgia,Dome,FALSE,72,0,DOME,,,,,
9/19/2010,2010,2,FALSE,CAR,7,20,TB,CAR,-4,37.5,Bank,of,America,Stadium,FALSE,89,4,39,,,
9/19/2010,2010,2,FALSE,CIN,15,10,BAL,BAL,-3,39.5,Paul,Brown,Stadium,FALSE,78,1,52,,,,
9/19/2010,2010,2,FALSE,CLE,14,16,KC,CLE,-3,38,FirstEnergy,Stadium,FALSE,65,1,,,,,,
9/19/2010,2010,2,FALSE,DAL,20,27,CHI,DAL,-7,41.5,Cowboys,Stadium,FALSE,72,0,DOME,,,,,
9/19/2010,2010,2,FALSE,DEN,31,14,SEA,DEN,-3.5,41,Sports,Authority,Field,at,Mile,High,FALSE,91,9,4,
9/19/2010,2010,2,FALSE,DET,32,35,PHI,PHI,-6.5,41,Ford,Field,FALSE,72,0,DOME,,,,,
9/19/2010,2010,2,FALSE,GB,34,7,BUF,GB,-13,43,Lambeau,Field,FALSE,58,4,51,,,,,
9/19/2010,2010,2,FALSE,IND,38,14,NYG,IND,-4,48.5,Lucas,Oil,Stadium,FALSE,72,0,DOME,,,,
9/19/2010,2010,2,FALSE,MIN,10,14,MIA,MIN,-6,41,Mall,of,America,Field,FALSE,72,0,DOME,,,
9/19/2010,2010,2,FALSE,NYJ,28,14,NE,NE,-3,39.5,MetLife,Stadium,FALSE,82,6,36,,,,,
9/19/2010,2010,2,FALSE,LVR,16,14,LAR,LVR,-3,37.5,LVRland,Coliseum,FALSE,72,6,60,,,,,
9/19/2010,2010,2,FALSE,LAC,38,13,JAX,LAC,-7,45,Qualcomm,Stadium,FALSE,76,8,63,,,,,
9/19/2010,2010,2,FALSE,TEN,11,19,PIT,TEN,-6,37,Nissan,Stadium,FALSE,87,3,49,,,,,
9/19/2010,2010,2,FALSE,WAS,27,30,HOU,HOU,-3,42.5,FedEx,Field,FALSE,85,6,43,,,,,
9/20/2010,2010,2,FALSE,SF,22,25,NO,NO,-5,43.5,Candlestick,Park,FALSE,72,1,60,,,,,
9/26/2010,2010,3,FALSE,ARI,24,23,LVR,ARI,-5.5,39,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
9/26/2010,2010,3,FALSE,BAL,24,17,CLE,BAL,-12.5,36.5,M&T,Bank,Stadium,FALSE,77,6,83,Rain,,,
9/26/2010,2010,3,FALSE,CAR,7,20,CIN,CIN,-3.5,37,Bank,of,America,Stadium,FALSE,67,8,86,Rain,|,Fog
9/26/2010,2010,3,FALSE,DEN,13,27,IND,IND,-6,47,Sports,Authority,Field,at,Mile,High,FALSE,85,6,12,
9/26/2010,2010,3,FALSE,HOU,13,27,DAL,HOU,-2.5,47.5,Reliant,Stadium,FALSE,82,8,DOME,(Open,Roof),,,
9/26/2010,2010,3,FALSE,JAX,3,28,PHI,PHI,-3,45,EverBank,Field,FALSE,90,5,67,,,,,
9/26/2010,2010,3,FALSE,KC,31,10,SF,SF,-3,38,Arrowhead,Stadium,FALSE,57,1,72,,,,,
9/26/2010,2010,3,FALSE,MIA,23,31,NYJ,MIA,-2.5,36,Sun,Life,Stadium,FALSE,84,9,77,,,,
9/26/2010,2010,3,FALSE,MIN,24,10,DET,MIN,-13,43,Mall,of,America,Field,FALSE,72,0,DOME,,,
9/26/2010,2010,3,FALSE,NE,38,30,BUF,NE,-14.5,43,Gillette,Stadium,FALSE,68,11,,,,,,
9/26/2010,2010,3,FALSE,NO,24,27,ATL,NO,-3,49.5,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
9/26/2010,2010,3,FALSE,NYG,10,29,TEN,NYG,-3,43.5,MetLife,Stadium,FALSE,70,3,48,,,,,
9/26/2010,2010,3,FALSE,SEA,27,20,LAC,LAC,-4,44,CenturyLink,Field,FALSE,66,10,Fog,,,,,
9/26/2010,2010,3,FALSE,LAR,30,16,WAS,WAS,-5,39,Edward,Jones,Dome,FALSE,72,0,DOME,,,,
9/26/2010,2010,3,FALSE,TB,13,38,PIT,PIT,-3,33,Raymond,James,Stadium,FALSE,90,7,62,,,,
9/27/2010,2010,3,FALSE,CHI,20,17,GB,GB,-3,46.5,Soldier,Field,FALSE,56,6,75,,,,,
10/3/2010,2010,4,FALSE,ATL,16,14,SF,ATL,-7,42.5,Georgia,Dome,FALSE,72,0,DOME,,,,,
10/3/2010,2010,4,FALSE,BUF,14,38,NYJ,NYJ,-6,37,Ralph,Wilson,Stadium,FALSE,51,1,66,Rain,,,
10/3/2010,2010,4,FALSE,CLE,23,20,CIN,CIN,-2.5,37,FirstEnergy,Stadium,FALSE,52,10,,,,,,
10/3/2010,2010,4,FALSE,GB,28,26,DET,GB,-14.5,46,Lambeau,Field,FALSE,52,8,61,,,,,
10/3/2010,2010,4,FALSE,JAX,31,28,IND,IND,-7,46,EverBank,Field,FALSE,81,1,30,,,,,
10/3/2010,2010,4,FALSE,NO,16,14,CAR,NO,-12.5,44,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
10/3/2010,2010,4,FALSE,NYG,17,3,CHI,NYG,-3.5,44,MetLife,Stadium,FALSE,59,1,52,,,,,
10/3/2010,2010,4,FALSE,LVR,24,31,HOU,HOU,-3.5,44,LVRland,Coliseum,FALSE,71,1,53,,,,,
10/3/2010,2010,4,FALSE,PHI,12,17,WAS,PHI,-5,43.5,Lincoln,Financial,Field,FALSE,63,1,57,,,,
10/3/2010,2010,4,FALSE,PIT,14,17,BAL,PIT,-2.5,34.5,Heinz,Field,FALSE,52,5,86,,,,,
10/3/2010,2010,4,FALSE,LAC,41,10,ARI,LAC,-9.5,46.5,Qualcomm,Stadium,FALSE,72,8,67,,,,,
10/3/2010,2010,4,FALSE,LAR,20,3,SEA,SEA,-2,40,Edward,Jones,Dome,FALSE,72,0,DOME,,,,
10/3/2010,2010,4,FALSE,TEN,20,26,DEN,TEN,-6.5,43.5,Nissan,Stadium,FALSE,54,1,67,,,,,
10/4/2010,2010,4,FALSE,MIA,14,41,NE,NE,-1,48,Sun,Life,Stadium,FALSE,81,1,60,,,,
10/10/2010,2010,5,FALSE,ARI,30,20,NO,NO,-7,45.5,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
10/10/2010,2010,5,FALSE,BAL,31,17,DEN,BAL,-8,39.5,M&T,Bank,Stadium,FALSE,70,6,40,,,,
